constituentId,lastName,firstName,displayName,searchBeginDate,searchEndDate,displayDate,code,nationality,constituentType,birthPlace,deathPlace,luceArtistBiography,artworkConstituentRelationship,akaNames,deathDate,birthDate
7426,Rendon,Enrique,Enrique Rendon,1923,1987,"born Monero, NM 1923-died Verlarde, NM 1987",Verified,American,Individual,"Monero, New Mexico, United States","Monero, New Mexico, United States","<p>Enrique Rendon collected burrs from the fields and stuck them together to create small figures and animals. He also constructed tiny pieces of furniture from tin and aluminum. A few years before he retired, Rendon became good friends with the <i>santero </i>(carver of wooden saints) Horacio Valdez and began carving small images of saints, or santos.</p>",Artist,,1987-4-16,1923-10-2
7433,Valdez,Horacio,Horacio Valdez,1929,1992,"born Dixon, NM 1929-died Apodaca, NM 1992",Verified,American,Individual,"Dixon, New Mexico, United States","Dixon, New Mexico, United States","<p>A disabling accident in 1974 ended Horacio Valdez's career as a carpenter. That same year he was initiated into <i>Los Hermanos Penitentes</i> (the Penitent Brothers), an offshoot of the Franciscan order known for their practice of self-flagellation. Sculptures in the <i>Penitentes</i> chapel inspired Valdez to carve his religious figures.</p>",Artist,Horacio E. Valdez,1992-8-16,1929-7-15
7499,Vargas,Kathy,Kathy Vargas,1950,2050,"born San Antonio, TX 1950",Verified,American,Individual,"San Antonio, Texas, United States",,,Artist,,,1950-6-23
7490,Archuleta,Leroy,Leroy Archuleta,1949,2002,"born Tesuque, NM 1949-died Tesuque, NM 2002",Verified,American,Individual,"Tesuque, New Mexico, United States","Tesuque, New Mexico, United States",,Artist,Leroy Ramon Archuleta,2002-5-24,1949-1-9
17755,Cordova,Gloria Lopez,Gloria Lopez Cordova,1942,2042,"born Cordova, NM 1942",Verified,American,Individual,"Cordova, New Mexico, United States",,,Artist,,,1942-10-6
17756,Gil de Montes,Roberto,Roberto Gil de Montes,1950,2050,"born Guadalajara, Mexico 1950",Provisional,American,Individual,"Guadalajara, Mexico",,,Artist,Robert Gil de Montes,,1950
18023,Unidentified (Mexican),,Unidentified (Mexican),0,0,,Verified,Mexican,Individual,,,,Artist,,,
18280,Lopez,Martina,Martina Lopez,1952,2052,"born Seattle, WA 1952",Verified,American,Individual,"Seattle, Washington, United States",,,Artist,Martina A. Lopez,,1952-12-24
18284,Casas,Melesio,Melesio Casas,1929,2014,"born El Paso, TX 1929-died San Antonio, TX 2014",Verified,American,Individual,"El Paso, Texas, United States","El Paso, Texas, United States",,Artist,Mel Casas,2014-11-30,1929-11-24
18287,Carrillo,Charles M.,Charles M. Carrillo,1956,2056,"born Albuquerque, NM 1956",Verified,American,Individual,"Albuquerque, New Mexico, United States",,,Artist,Charles Michael Carrillo,,1956-1-18
18309,Martinez,Daniel Joseph,Daniel Joseph Martinez,1957,2057,"born Los Angeles, CA 1957",Verified,American,Individual,"Los Angeles, California, United States",,,Artist,Daniel J. Martinez,,1957-5-28
18349,Aguilar,Rosendo,Rosendo Aguilar,1945,2045,n.d.,Provisional,American,Individual,,,,Artist,,,
18351,Chavez,"Charles A. ""Chaco""","Charles A. ""Chaco"" Chavez",1945,2045,n.d.,Provisional,American,Individual,,,,Artist,,,
18352,Sweetleaf,Jesus G.,Jesus G. Sweetleaf,1946,2046,n.d.,Provisional,American,Individual,,,,Artist,,,
18353,Hernandez,Manuel M.,Manuel M. Hernandez,1946,2046,n.d.,Provisional,American,Individual,,,,Artist,,,
18354,Mudo,,Mudo,1946,2046,n.d.,Provisional,American,Individual,,,,Artist,,,
18355,Nieto,Don Juanie F.,Don Juanie F. Nieto,1947,2047,n.d.,Provisional,American,Individual,,,,Artist,,,
18356,Silva,David,David Silva,1948,2048,n.d.,Provisional,American,Individual,,,,Artist,,,
18357,La Sonadora,,La Sonadora,1937,2037,n.d.,Provisional,American,Individual,,,,Artist,,,
18358,Taboada,David,David Taboada,1936,2036,n.d.,Provisional,American,Individual,,,,Artist,,,
18359,Casanova,Pete,Pete Casanova,1946,2046,n.d.,Provisional,American,Individual,,,,Artist,,,
18360,Castillo,Rudy,Rudy Castillo,1946,2046,n.d.,Provisional,American,Individual,,,,Artist,,,
18363,Trujillo,Antonio,Antonio Trujillo,1946,2046,n.d.,Provisional,American,Individual,,,,Artist,,,
18364,Varela,R.,R. Varela,1946,2046,n.d.,Provisional,American,Individual,,,,Artist,,,
18366,,,El Nopal Press,0,0,,Candidate,,Institution,,,,Printer,,,
18369,Alfredo,,Alfredo,1948,2048,n.d.,Provisional,American,Individual,,,,Artist,,,
18370,,Ricky,Ricky,1945,2045,n.d.,Provisional,American,Individual,,,,Artist,,,
18371,Unidentified Hourglass Prison Artist,,Unidentified Hourglass Prison Artist,0,0,,Verified,American,Individual,,,,Artist,,,
18374,Trejo,Ruben,Ruben Trejo,1937,2009,"born St. Paul, MN 1937-died Spokane, WA 2009",Verified,American,Individual,"St. Paul, Minnesota, United States","St. Paul, Minnesota, United States",,Artist,Rubén Trejo,2009-7-19,1937
18390,Mesa-Bains,Amalia,Amalia Mesa-Bains,1943,2043,"born Santa Clara, CA 1943",Verified,American,Individual,"Santa Clara, California, United States",,,Artist,,,1943-7-10
18391,Baca,Judith F.,Judith F. Baca,1946,2046,"born Los Angeles, CA 1946",Verified,American,Individual,"Los Angeles, California, United States",,,Artist,Judith Baca,,1946-9-20
18392,López,Ramón José,Ramón José López,1951,2051,"born Santa Fe, NM 1951",Verified,American,Individual,"Santa Fe, New Mexico, United States",,,Artist,Ramon Jose Lopez,,1951-10-23
18393,López,Félix,Félix López,1942,2042,"born Gilman, CO 1942",Verified,American,Individual,"Gilman, Colorado, United States",,,Artist,Felix Lopez,,1942-6-8
18405,Luján,"Gilbert ""Magu""","Gilbert ""Magu"" Luján",1940,2011,"born Stockton, CA 1940-died Arcadia, CA 2011",Provisional,American,Individual,"Stockton, California, United States","Stockton, California, United States",,Artist,Magu,2011-7-24,1940-10-16
18478,Dominguez,Eddie,Eddie Dominguez,1957,2057,"born Tucumcari, NM 1957",Verified,American,Individual,"Tucumcari, New Mexico, United States",,,Artist,,,1957-10-17
18582,Sandoval,Arturo Alonzo,Arturo Alonzo Sandoval,1942,2042,"born Española, NM 1942",Verified,American,Individual,"Española, New Mexico, United States",,,Artist,Arturo A. Sandoval,,1942-2-1
26960,Unidentified (Latino),,Unidentified (Latino),0,0,,Verified,,Individual,,,,Artist,,,
27218,Rijo,Agustin,Agustin Rijo,0,0,,Candidate,,Individual,,,,Printer,,,
27219,Ramon,Milton,Milton Ramon,0,0,,Candidate,,Individual,,,,Printer,,,
27220,Crespo,Jose,Jose Crespo,0,0,,Candidate,,Individual,,,,Printer,,,
29140,Doniz,Rafael,Rafael Doniz,1948,2048,"born Mexico City, Mexico 1948",Verified,Mexican,Individual,"Mexico City, Mexico",,,Artist,,,1948-8-29
29142,Gandert,Miguel A.,Miguel A. Gandert,1956,2056,"born Española, NM 1956",Candidate,American,Individual,"Española, New Mexico, United States",,,Artist,Miguel Adrian Gandert,,1956-1-12
29153,Valtierra,Pedro,Pedro Valtierra,1955,2055,"Mexican, born Fresnillo, Mexico 1955",Provisional,Mexican,Individual,"Fresnillo, Mexico",,,Artist,,,1955
29168,Gonzalez-Ceron,Oscar,Oscar Gonzalez-Ceron,0,0,,Candidate,,Individual,,,,Printer,,,
29145,Hernandez,Christina Koci,Christina Koci Hernandez,1969,2069,"born Oakland, CA 1969",Provisional,American,Individual,"Oakland, California, United States",,,Artist,,,1969
29443,Segura,Joe,Joe Segura,1946,2046,"born Sterling, IL 1946",Provisional,American,Individual,"Sterling, Illinois, United States",,,Printer,Joseph Segura,,
29766,Ramirez,Paul Henry,Paul Henry Ramirez,1963,2063,"born El Paso, TX 1963",Provisional,American,Individual,"El Paso, Texas, United States",,,Artist,,,1963
29960,Fernandez,Christina,Christina Fernandez,1965,2065,"born Los Angeles, CA 1965",Provisional,American,Individual,"Los Angeles, California, United States",,,Artist,,,1965
30048,Gonzales-Day,Ken,Ken Gonzales-Day,1964,2064,"born Santa Clara, CA 1964",Provisional,American,Individual,"Santa Clara, California, United States",,,Artist,,,1964
30053,Gomez,Ignacio,Ignacio Gomez,1941,2041,"born Los Angeles, CA 1941",Provisional,American,Individual,"Los Angeles, California, United States",,,Artist,,,1941
30125,Cárdenas,Gilberto,Gilberto Cárdenas,0,0,,Provisional,,Individual,,,,,Gilberto Cardenas,,
30140,Rodriguez,Stephen,Stephen Rodriguez,0,0,,Candidate,,Individual,,,,Printer,,,
30203,Gamboa,Harry,"Harry Gamboa, Jr.",1951,2051,"born Los Angeles, CA 1951",Provisional,American,Individual,"Los Angeles, California, United States",,,Photographer,,,1951
30256,Cabrera,Margarita,Margarita Cabrera,1973,2073,"born Monterrey, Mexico 1973",Provisional,American,Individual,"Monterrey, Mexico",,,Artist,,,1973
30267,Ramirez,Chuck,Chuck Ramirez,1962,2010,"born San Antonio, TX 1962-died San Antonio, TX 2010",Verified,American,Individual,"San Antonio, Texas, United States","San Antonio, Texas, United States",,Artist,,2010-11-6,1962-4-28
30271,Valdés,Alberto,Alberto Valdés,1918,1998,"born El Paso, TX 1918-died Los Angeles, CA 1998",Verified,American,Individual,"El Paso, Texas, United States","El Paso, Texas, United States",,Artist,Alberto Valdes,1998-5-10,1918-3-28
30315,Chavez,Roberto,Roberto Chavez,1932,2032,"born Los Angeles, CA 1932",Provisional,American,Individual,"Los Angeles, California, United States",,,Artist,,,1932
30322,Rodriguez,Jose,Jose Rodriguez,1950,2050,"born El Paso, TX 1950",Provisional,American,Individual,"El Paso, Texas, United States",,,Artist,Joe Rodriguez,,1950
30324,Castellanos,Leonard,Leonard Castellanos,1943,2049,"born Los Angeles, CA 1943",Provisional,American,Individual,"Los Angeles, California, United States",,,Artist,Leonardo Castellanos,,1943
30325,Hernández,Judithe,Judithe Hernández,1948,2048,"born Los Angeles, CA 1948",Provisional,American,Individual,"Los Angeles, California, United States",,,Artist,Judithe Hernandez,,1948
30326,Castro,Isabel,Isabel Castro,0,0,,Provisional,,Individual,,,,Artist,Isabel Castro-Melendez,,
30327,Cruz,Manuel,Manuel Cruz,0,0,,Provisional,American,Individual,,,,Artist,,,
30328,Healy,Wayne,Wayne Healy,1946,2046,"born Santa Barbara, CA 1946",Provisional,American,Individual,"Santa Barbara, California, United States",,,Artist,Wayne Healy,,1946
30329,Bejarano,Guillermo,Guillermo Bejarano,1946,2046,"born San Diego, CA 1946",Verified,American,Individual,"San Diego, California, United States",,,Artist,William Bejarano,,1946-12-3
30330,Cervantes,José,José Cervantes,0,0,,Provisional,,Individual,,,,Artist,Jose Cervantes,,
30377,Castillo,Oscar R.,Oscar R. Castillo,1945,2045,"born El Paso, TX 1945",Verified,American,Individual,"El Paso, Texas, United States",,,Artist,,,1945-6-24
30401,Mondini-Ruiz,Franco,Franco Mondini-Ruiz,1961,2061,"born San Antonio, TX 1961",Verified,American,Individual,"San Antonio, Texas, United States",,,Artist,,,1961-6-2
30403,Amado,Jesse,Jesse Amado,1951,2051,"born San Antonio, TX 1951",Provisional,American,Individual,"San Antonio, Texas, United States",,,Artist,,,1951
30523,,Asco,Asco,1971,1987,active 1971-1987,Verified,American,Institution,,,,Artist,,,
30524,Herrón,Willie F.,Willie F.  Herrón III,1951,2051,"born Los Angeles, CA 1951",Provisional,American,Individual,"Los Angeles, California, United States",,,Artist,Willie F. Herron III,,1951
30702,Ulloa,Domingo,Domingo Ulloa,1919,1997,"born Pomona, CA 1919-died El Centro, CA 1997",Provisional,American,Individual,"Pomona, California, United States","Pomona, California, United States",,Artist,Domingo O. Ulloa,1997-6-29,1919-7-27
30887,Ochoa,Ruben,Ruben Ochoa,1974,2074,"born Oceanside, CA 1974",Verified,American,Individual,"Oceanside, California, United States",,,Artist,Ruben G. Ochoa,,1974-10-29
30928,Hock,Louis,Louis Hock,1948,2048,"born Los Angeles, CA 1948",Verified,American,Individual,"Los Angeles, California, United States",,,Artist,,,1948-5-9
30927,Sisco,Elizabeth,Elizabeth Sisco,1954,2054,"born Cheverly, MD 1954",Verified,American,Individual,"Cheverly, Maryland, United States",,,Artist,,,1954-8-21
30950,Ortiz Torres,Rubén,Rubén Ortiz Torres,1964,2064,"born Mexico City, Mexico 1964",Verified,American,Individual,"Mexico City, Mexico",,,Artist,Rubén Ortiz-Torres,,1964-2-27
30953,Diaz,Alejandro,Alejandro Diaz,1963,2063,"born San Antonio, TX 1963",Provisional,American,Individual,"San Antonio, Texas, United States",,,Artist,,,1963
30981,Villareal,Leo,Leo Villareal,1967,2067,"born Albuquerque, NM 1967",Verified,American,Individual,"Albuquerque, New Mexico, United States",,,Artist,,,1967-2-17
30982,Abaroa,Eduardo,Eduardo Abaroa,1968,2068,"born Mexico City, Mexico 1968",Provisional,American,Individual,"Mexico City, Mexico",,,Artist,,,1968
31004,Ortega,Joe,Joe Ortega,1965,2065,"born Tesuque, NM 1965",Verified,American,Individual,"Tesuque, New Mexico, United States",,,Artist,,,1965-5-1
31060,Rendón,Al,Al Rendón,1957,2057,"born San Antonio, TX 1957",Verified,American,Individual,"San Antonio, Texas, United States",,,Artist,Al Rendon,,1957-2-1
31212,Mijangos,Alberto,Alberto Mijangos,1925,2007,"born Mexico City, Mexico 1925-died San Antonio, TX 2007",Verified,American,Individual,,,,Artist,,2007-6-19,1925-7-25
31491,Valdez,Vincent,Vincent Valdez,1977,2077,born San Antonio 1977,Verified,American,Individual,"San Antonio, Texas, United States",,,Artist,,,1977
31546,Yampolsky,Mariana,Mariana Yampolsky,1925,2002,"born Chicago, IL 1925-died Mexico City, Mexico 2002",Verified,American,Individual,"Chicago, Illinois, United States","Chicago, Illinois, United States",,Artist,Mariana Yampolsky Urbach,2002-5-3,1925-9-6
31731,López,Yolanda,Yolanda López,1942,2042,"born San Diego, CA 1942",Verified,American,Individual,"San Diego, California, United States",,,Artist,Yolanda Lopez,,1942
31769,de Dios Mora,Juan,Juan de Dios Mora,1984,2084,"born Yahualica, Mexico 1984",Verified,American,Individual,"Yahualica, Mexico",,,Artist,,,1984
31777,Menchaca,Michael,Michael Menchaca,1985,2085,"born San Antonio, TX 1985",Provisional,American,Individual,"San Antonio, Texas, United States",,,Artist,,,1985
31781,Coronado,Sam,Sam Coronado,1946,2013,"born Ennis, TX 1946-died Fort Wayne, IN 2013",Verified,American,Individual,"Ennis, Texas, United States","Ennis, Texas, United States",,Artist,Sam Z. Coronado,2013-11-11,1946-7-12
31782,Hernandez,John,John Hernandez,1952,2052,"born San Antonio, TX 1952",Provisional,American,Individual,"San Antonio, Texas, United States",,,Artist,John A. Hernandez,,1952
31784,Rubio,Alex,Alex Rubio,1968,2068,"born San Antonio, TX 1968",Provisional,American,Individual,"San Antonio, Texas, United States",,,Artist,,,1968
31821,García,Eric J.,Eric J. García,1977,2077,"born Albuquerque, NM 1977",Verified,American,Individual,"Albuquerque, New Mexico, United States",,,Artist,Eric J. Garcia,,1977-10-21
31824,Gomez,Ramiro,Ramiro Gomez,1986,2086,"born San Bernardino, CA 1986",Verified,American,Individual,"San Bernardino, California, United States",,,Artist,,,1986
31830,Montoya,José,José Montoya,1932,2013,"born Escobosa, NM 1932-died Sacramento, CA 2013",Verified,American,Individual,"Escobosa, New Mexico, United States","Escobosa, New Mexico, United States",,Artist,Jose Montoya,2013-9-25,1932-5-28
31831,González,Xico,Xico González,1975,2075,"born Los Angeles, CA 1975",Verified,American,Individual,"Los Angeles, California, United States",,,Artist,Xico Gonzalez,,1975
31836,Maradiaga,Ralph,Ralph Maradiaga,1934,1985,"born San Francisco, CA 1934-died San Francisco, CA 1985",Verified,American,Individual,"San Francisco, California, United States","San Francisco, California, United States",,Artist,,1985-7-19,1934-10-27
31838,Romero,Sonia,Sonia Romero,1980,2080,"born Los Angeles, CA 1980",Provisional,American,Individual,"Los Angeles, California, United States",,,Artist,,,1980
31841,Hernandez,Carlos,Carlos Hernandez,1962,2062,"born Lubbock, TX 1962",Provisional,American,Individual,"Lubbock, Texas, United States",,,Artist,,,1962
31846,Alcaraz,Lalo,Lalo Alcaraz,1964,2064,"born San Diego, CA 1964",Verified,American,Individual,"San Diego, California, United States",,,Artist,Eduar López Alcaraz,,1964-4-19
31847,Alvarez,Laura,Laura Alvarez,1969,2069,"born Los Angeles, CA 1969",Provisional,American,Individual,"Los Angeles, California, United States",,,Artist,,,1969
31848,Molina,Laura,Laura Molina,1957,2057,"born Los Angeles, CA 1957",Verified,American,Individual,"Los Angeles, California, United States",,,Artist,,,1957-12-15
31850,González,Daniel,Daniel González,1980,2080,"born Los Angeles, CA 1980",Provisional,American,Individual,"Los Angeles, California, United States",,,Artist,Daniel Gonzalez,,1980
31852,Gamboa,Diane,Diane Gamboa,1957,2057,"born Los Angeles, CA 1957",Provisional,American,Individual,"Los Angeles, California, United States",,,Artist,,,1957
31853,Carrasco,Barbara,Barbara Carrasco,1955,2055,"born El Paso, TX 1955",Provisional,American,Individual,"El Paso, Texas, United States",,,Artist,,,1955
31854,Jackson,Carlos Francisco,Carlos Francisco Jackson,1978,2078,"born Los Angeles, CA 1978",Verified,American,Individual,"Los Angeles, California, United States",,,Artist,,,1978-5-9
31855,Yerena Montejano,Ernesto,Ernesto Yerena Montejano,1987,2087,"born El Centro, CA 1987",Provisional,American,Individual,"El Centro, California, United States",,,Artist,Ernesto Montejano,,1987
31856,Dueñas,Roxana,Roxana Dueñas,1984,1984,"born Boyle Heights, CA 1984",Provisional,American,Individual,"Boyle Heights, California, United States",,,Artist,Roxana Duenas,,1984
31858,Barraza,Jesus,Jesus Barraza,1976,2076,"born El Paso, TX 1976",Provisional,American,Individual,"El Paso, Texas, United States",,,Artist,,,1976
31859,Torero,Mario,Mario Torero,1947,2047,"born Lima, Peru 1947",Provisional,American,Individual,"Lima, Peru",,,Artist,,,1947
31861,Muñoz,Celia Alvarez,Celia Alvarez Muñoz,1937,2037,"born El Paso, TX 1937",Provisional,American,Individual,"El Paso, Texas, United States",,,Artist,Celia Alvera Munoz,,1937
31863,Castaño,Carolyn,Carolyn Castaño,1971,2071,"born Los Angeles, CA 1971",Provisional,American,Individual,"Los Angeles, California, United States",,,Artist,Carolyn Castano,,1971
31866,Bueno,Carlos,Carlos Bueno,1941,2001,"born Cuernavaca, Mexico 1941-died Mazatlan, Mexico 2001",Verified,American,Individual,"Cuernavaca, Mexico","Cuernavaca, Mexico",,Artist,Carlos Bueno Poblett,2001-8-18,1941
31867,Gonzalez,Antonio Ibañez,Antonio Ibañez Gonzalez,1949,1995,"born Mexico City, Mexico 1949-died Mazatlan, Mexico 1995",Provisional,American,Individual,"Mexico City, Mexico","Mexico City, Mexico",,Artist,Antonio Ibanez Gonzalez,1995,1949
31868,Hom,Nancy,Nancy Hom,1949,2049,"born Toisan, China 1949",Provisional,American,Individual,"Toisan, China",,,Artist,,,
31871,Cervantes,Melanie,Melanie Cervantes,1977,0,"born Harbor City, CA 1977",Provisional,American,Individual,"Harbor City, California, United States",,,Artist,,,1977
31875,Rodriguez,Favianna,Favianna Rodriguez,1978,2078,"born Oakland, CA 1978",Verified,American,Individual,"Oaklan, California, United States",,,Artist,,,1978-9-26
31877,Treviño,José Francisco,José Francisco Treviño,1941,2041,"born Austin, TX 1941",Provisional,American,Individual,"Austin, Texas, United States",,,Artist,José F. Treviño,,
31879,García,Domingo,Domingo García,1932,2032,"born Coamo, Puerto Rico 1932",Provisional,American,Individual,"Coamo, Puerto Rico",,,Artist,Domingo Garcia,,1932
31882,Salgado,Julio,Julio Salgado,1983,2083,"born Ensenada, Mexico 1983",Verified,American,Individual,"Ensenada, Mexico",,,Artist,,,1983-9-1
31884,Camplis,Francisco X,Francisco X Camplis,1934,2034,"born San Francisco, CA 1934",Provisional,American,Individual,"San Francisco, California, United States",,,Artist,,,1934
31885,Carrillo,Graciela,Graciela Carrillo,1950,2050,"born Los Angeles, CA 1950",Provisional,American,Individual,"Los Angeles, California, United States",,,Artist,,,1950
31887,Zermeño,Andrew,Andrew Zermeño,1935,2035,"born Salinas, CA 1935",Provisional,American,Individual,"Salinas, California, United States",,,Artist,Andrew Zermeno,,
31888,Garcia,Max,Max Garcia,1942,2020,"born Uruapan, Mexico 1942-died 2020",Provisional,Americn,Individual,"Uruapan, Mexico",,,Artist,Maximino Elias Garcia,2020,1942
31889,Guzmán,Rubén,Rubén Guzmán,1953,1999,"born San Francisco, CA 1953-died San Francisco, CA 1999",Provisional,American,Individual,"San Francisco, California, United States","San Francisco, California, United States",,Artist,Ruben Guzman,1999,1953
31891,Orosco,Juanishi,Juanishi Orosco,1945,2020,"born Lincoln, CA 1945",Provisional,American,Individual,"Lincoln, California, United States",,,Artist,Juanishi Valle Orosco,,1945
31892,Pérez,Irene,Irene Pérez,1950,2050,"born Alameda, CA 1950",Provisional,American,Individual,"Alameda, California, United States",,,Artist,Irene Perez,,
31894,Rodriguez,Patricia,Patricia Rodriguez,1944,2044,"born Marfa, TX 1944",Provisional,American,Individual,"Marfa, Texas, United States",,,Artist,,,1944
31895,Romero,José,José Romero,0,0,,Provisional,,Individual,,,,Artist,Jose Romero,,
31896,Villa,Esteban,Esteban Villa,1930,2030,"born Tulare, CA 1930",Verified,American,Individual,"Tulare, California, United States",,,Artist,,,1930-8-3
31898,Yañez,René,René Yañez,1942,2018,"born Tijuana, Mexico 1942-died San Francisco, CA 2018",Verified,American,Individual,"Tijuana, Mexico","Tijuana, Mexico",,Artist,Rene Yanez,2018-5-29,1942-9-19
31900,Sances,Jos,Jos Sances,1952,2052,"born Boston, MA 1952",Verified,American,Individual,"Boston, Massachusetts, United States",,,Artist,John Joseph Sances,,1952-8-18
31901,Sigüenza,Herbert,Herbert Sigüenza,1959,2059,"born San Francisco, CA 1959",Verified,American,Individual,"San Francisco, California, United States",,,Artist,Herbert Siguenza,,1959-1-26
31903,Montoya,Emmanuel,Emmanuel Montoya,1952,2052,"born Corpus Christi, TX 1952",Provisional,American,Individual,"Corpus Christi, Texas, United States",,,Artist,Emmanuel C. Montoya,,1952
31904,Melara,Oscar,Oscar Melara,1949,2049,"born San Francisco, CA 1949",Provisional,American,Individual,"San Francisco, California, United States",,,Artist,,,1949
31921,,Calimocho Styles,Calimocho Styles,0,0,,Provisional,,Institution,,,,Artist,,,
31927,Lopez,Alma,Alma Lopez,1966,2066,"born Los Mochis, Mexico 1966",Provisional,American,Individual,"Los Mochis, Mexico",,,Artist,Alma López,,1966
31929,Peña,Zeke,Zeke Peña,1983,2083,"born Las Cruces, NM 1983",Provisional,American,Individual,"Las Cruces, New Mexico, United States",,,Artist,Zeke Pena,,1983
31930,García,Salvador,Salvador García,1954,2054,"born San Antonio, TX 1954",Provisional,American,Individual,"San Antonio, Texas, United States",,,Artist,Salvador Garcia,,1954
31956,Originol,Oree,Oree Originol,1984,2084,"born Los Angeles, CA 1984",Verified,American,Individual,"Los Angeles, California, United States",,,Artist,,,1984-9-11
31962,,,Committee to Free Los Tres,0,0,,Provisional,,Institution,,,,Artist,,,
31965,Robles,Calixto,Calixto Robles,1957,2057,"born Oaxaca, Mexico 1957",Provisional,American,Individual,"Oaxaca, Mexico",,,Artist,,,1957
31966,Norte,Armando,Armando Norte,1953,2053,"born Oaxaca, Mexico 1953",Provisional,American,Individual,"Oaxaca, Mexico",,,Artist,,,1953
31968,,,El Taller Gráfico,0,0,,Provisional,,Institution,,,,Artist,,,
31969,Campusano de Camplis,Lorenza,Lorenza Campusano de Camplis,1936,2036,"born El Paso, TX 1936",Provisional,American,Individual,"El Paso, Texas, United States",,,Artist,,,1936
31973,Hernandez,Nancypili,Nancypili Hernandez,1980,2080,"born San Francisco, CA 1980",Provisional,American,Individual,"San Francisco, California, United States",,,Artist,Nancy Pili Hernández,,1980
31982,,,Einar De La Torre,1963,2063,"born Guadalajara, Mexico 1963",Provisional,American,Individual,"Guadalajara, Mexico",,,Artist,,,1963
31998,Gallegos,Peter,Peter Gallegos,1951,2051,"born Durango, CO 1951",Provisional,American,Individual,"Durango, Colorado, United States",,,Artist,,,1951
32006,Ramírez ERRE,Marcos,Marcos Ramírez ERRE,0,0,,Provisional,,Individual,,,,,,,
32011,Maldonado,V.,V. Maldonado,0,0,,Provisional,,Individual,,,,,,,
32023,Amero,Emilio,Emilio Amero,1901,1976,"born Ixtlhuaca, Mexico 1901-died Norman, OK 1976",Verified,American,Individual,"Ixtlhuaca, Mexico","Ixtlhuaca, Mexico",,Artist,Emilio Luis Amero Mimiaga,1976-4-12,1901-5-25
32025,Lopez,Linda,Linda Lopez,1981,2081,"born Visalia, CA 1981",Provisional,American,Individual,"Visalia, California, United States",,,Artist,Linda Nguyen Lopez,,1981
32072,,,Dignidad Rebelde,2007,2107,founded 2007,Provisional,,Institution,,,,Artist,,,
32136,De La Torre,Jamex,Jamex De La Torre,1960,2060,"born Guadalajara, Mexico 1960",Provisional,American,Individual,"Guadalajara, Mexico",,,Artist,,,1960
