Title,Alternative Title,Creator,Image,Weblog,Description,Add to Description 1,Add to Description 2,Subject,Date,Type,Format,Source,Language,Contributor,Annotates,Access Rights
Sobre Carlos,Following Carlos,Juan Carlos Macías,https://nationalmuseumofmexicanart.org/img/119a3f2c-43f3-44d5-a55a-1f6db4ea3fc8/2005.126_web.png,https://nationalmuseumofmexicanart.org/artworks/sobre-carlos,"Acrylic on canvas / acrílico sobre lienzo. 16"" x 20"" x 1 1/2"".",,,Carlos Cortéz|mentorship|coyote|fauna|children|humor|transportation,2005,,,"NMMA Permanent Collection, 2005.126, Gift of Joyce and Maya Romanoff",,National Museum of Mexican Art (NMMA),,"NMMA is committed to protecting the intellectual property rights of visual and performing artists and others who hold copyright. With the exception of fair use as defined by US copyright law, NMMA expressly prohibits the reproduction, distribution, downloading, transmission, sale, transfer, creation of derivative works, modification, public display, public performance, or publication of any materials on this website. Commercial use of any materials on the NMMA website is expressly forbidden.

Images, text, software, documentation, electronic text and image files, audio and video clips, and other materials (the “Contents”) on this site are either © National Museum of Mexican Art or used with permission by NMMA; and are protected by under United States and international copyright laws.

Please note that the NMMA does not hold the copyright to any works in its collection or on exhibition. Therefore, you are responsible for obtaining reproductions rights from any third-party rights holders."
Untitled,Sin título,Richard and Graciela Rios,https://nationalmuseumofmexicanart.org/img/89f500cf-8f2e-4483-b084-fe271e78966b/2003.607_front_web.png,https://nationalmuseumofmexicanart.org/artworks/untitled-484,"Polychrome ceramic, wood and mixed media / cerámica policromada, madera y técnica mixta. 46 1/2"" x 23 3/4"" x 6 1/2"".",,,gang|violence|Jesus Christ|Christianity|cross|contemporary|religion|man|vato|bato crucifix|crucify|pain|suffering|controversy,1983,,,"NMMA Permanent Collection, 2003.607, Gift from the Tomás Ybarra-Frausto and Dudley Brooks Collection",,National Museum of Mexican Art (NMMA),,"NMMA is committed to protecting the intellectual property rights of visual and performing artists and others who hold copyright. With the exception of fair use as defined by US copyright law, NMMA expressly prohibits the reproduction, distribution, downloading, transmission, sale, transfer, creation of derivative works, modification, public display, public performance, or publication of any materials on this website. Commercial use of any materials on the NMMA website is expressly forbidden.

Images, text, software, documentation, electronic text and image files, audio and video clips, and other materials (the “Contents”) on this site are either © National Museum of Mexican Art or used with permission by NMMA; and are protected by under United States and international copyright laws.

Please note that the NMMA does not hold the copyright to any works in its collection or on exhibition. Therefore, you are responsible for obtaining reproductions rights from any third-party rights holders."
Untitled,Sin título,David Avalos,https://nationalmuseumofmexicanart.org/img/19c4cacf-12e2-4e7e-92b7-fa435ef109b3/2003.612_web.png,https://nationalmuseumofmexicanart.org/artworks/untitled-485,"Hubcap and mixed media / llanta tapacubos y técnica mixta. 15 1/2"" (diam.) x 7 1/2"".",,,corazon|heart|car|hub cap|chiles|industrial|humor|glass|pepper|flora|urbanism|miracle|milagro|transportation|sculpture|contemporary|arte popular|folk art,N.D. / S.F.,,,"NMMA Permanent Collection, 2003.612, Gift of Tomás Ybarra-Frausto and Dudley Brooks Collection",,National Museum of Mexican Art (NMMA),,"NMMA is committed to protecting the intellectual property rights of visual and performing artists and others who hold copyright. With the exception of fair use as defined by US copyright law, NMMA expressly prohibits the reproduction, distribution, downloading, transmission, sale, transfer, creation of derivative works, modification, public display, public performance, or publication of any materials on this website. Commercial use of any materials on the NMMA website is expressly forbidden.

Images, text, software, documentation, electronic text and image files, audio and video clips, and other materials (the “Contents”) on this site are either © National Museum of Mexican Art or used with permission by NMMA; and are protected by under United States and international copyright laws.

Please note that the NMMA does not hold the copyright to any works in its collection or on exhibition. Therefore, you are responsible for obtaining reproductions rights from any third-party rights holders."
"Quien soy, soy quien","Who Am I, I Am Who",Gabriel Villa,https://nationalmuseumofmexicanart.org/img/a98cffa6-bceb-4c2a-9630-b99a3614ba7c/2007.23_web.png,https://nationalmuseumofmexicanart.org/artworks/quien-soy-soy-quien,"Oil on canvas / óleo sobre lienzo. 72"" x 72"".",,,surreal|dream|text|birdcage|fauna|dog|rest|relaxation|sleep|Chicago artist|urban|poor|homeless|poverty,2003-2004,,,"NMMA Permanent Collection, 2007.23, Anonymous Gift",,National Museum of Mexican Art (NMMA),,"NMMA is committed to protecting the intellectual property rights of visual and performing artists and others who hold copyright. With the exception of fair use as defined by US copyright law, NMMA expressly prohibits the reproduction, distribution, downloading, transmission, sale, transfer, creation of derivative works, modification, public display, public performance, or publication of any materials on this website. Commercial use of any materials on the NMMA website is expressly forbidden.

Images, text, software, documentation, electronic text and image files, audio and video clips, and other materials (the “Contents”) on this site are either © National Museum of Mexican Art or used with permission by NMMA; and are protected by under United States and international copyright laws.

Please note that the NMMA does not hold the copyright to any works in its collection or on exhibition. Therefore, you are responsible for obtaining reproductions rights from any third-party rights holders."
Destiny: The Founding of Tenochtitlan,Destino: La fundación de Tenochtitlán,Analú López and Nino Rodríguez,https://nationalmuseumofmexicanart.org/img/b2bdca24-18d8-4799-aaa7-76989884f863/2007.222_web.png,https://nationalmuseumofmexicanart.org/artworks/destiny-the-founding-of-tenochtitlan-from-the-omen-series,"Inkjet print / impresión inkjet. 11 1/4"" x 16 1/2"" (paper size).",from The Omen Series,de las series Augurio,Tenochtitlan|Mexican emblem|flag|fauna|woman artist|women artists|Chicago|landscape|symbols|Humboldt Park|humor,2005,,,"NMMA Permanent Collection, 2007.222, Gift of the artist and Rebecca D. Meyers",,National Museum of Mexican Art (NMMA),,"NMMA is committed to protecting the intellectual property rights of visual and performing artists and others who hold copyright. With the exception of fair use as defined by US copyright law, NMMA expressly prohibits the reproduction, distribution, downloading, transmission, sale, transfer, creation of derivative works, modification, public display, public performance, or publication of any materials on this website. Commercial use of any materials on the NMMA website is expressly forbidden.

Images, text, software, documentation, electronic text and image files, audio and video clips, and other materials (the “Contents”) on this site are either © National Museum of Mexican Art or used with permission by NMMA; and are protected by under United States and international copyright laws.

Please note that the NMMA does not hold the copyright to any works in its collection or on exhibition. Therefore, you are responsible for obtaining reproductions rights from any third-party rights holders."
Zarmina,,Esperanza Gama,https://nationalmuseumofmexicanart.org/img/857900f6-c6d8-4462-9e2b-f6588a301461/2007.224_web.png,https://nationalmuseumofmexicanart.org/artworks/zarmina,"Colored pencil, thread and amate paper / lápiz de color, hilo y papel amate. 11 1/2"" x 9 1/2"".",,,women|amate|portrait|sewing|mysterious|woman artist|Jalisco|Puebla|tradition|bark paper|suppression|silence|women's rights|freedom of speech|censorship,2007,,,"NMMA Permanent Collection, 2007.224, Gift of the artist",,National Museum of Mexican Art (NMMA),,"NMMA is committed to protecting the intellectual property rights of visual and performing artists and others who hold copyright. With the exception of fair use as defined by US copyright law, NMMA expressly prohibits the reproduction, distribution, downloading, transmission, sale, transfer, creation of derivative works, modification, public display, public performance, or publication of any materials on this website. Commercial use of any materials on the NMMA website is expressly forbidden.

Images, text, software, documentation, electronic text and image files, audio and video clips, and other materials (the “Contents”) on this site are either © National Museum of Mexican Art or used with permission by NMMA; and are protected by under United States and international copyright laws.

Please note that the NMMA does not hold the copyright to any works in its collection or on exhibition. Therefore, you are responsible for obtaining reproductions rights from any third-party rights holders."
"Jugando a las guerritas, versión tres","Playing War, Version Three",Diana Solís,https://nationalmuseumofmexicanart.org/img/c6d91e8d-632e-4012-a694-1a374d78f228/2008.273.png,https://nationalmuseumofmexicanart.org/artworks/jugando-a-las-guerritas-versión-tres,"Ink and color pencil / tinta y lápices de color. 23 3/4"" x 19"" (paper size).",,,war|death|Día de los muertos|Day of the Dead|calavera|skull|calaca|play|woman artist|women artists|Chicago|flora|fauna,2008,,,"NMMA Permanent Collection, 2008.273, Purchase made possible by National Museum of Mexican Art Staff in memory of Rudy Sturgeon Jr.",,National Museum of Mexican Art (NMMA),,"NMMA is committed to protecting the intellectual property rights of visual and performing artists and others who hold copyright. With the exception of fair use as defined by US copyright law, NMMA expressly prohibits the reproduction, distribution, downloading, transmission, sale, transfer, creation of derivative works, modification, public display, public performance, or publication of any materials on this website. Commercial use of any materials on the NMMA website is expressly forbidden.

Images, text, software, documentation, electronic text and image files, audio and video clips, and other materials (the “Contents”) on this site are either © National Museum of Mexican Art or used with permission by NMMA; and are protected by under United States and international copyright laws.

Please note that the NMMA does not hold the copyright to any works in its collection or on exhibition. Therefore, you are responsible for obtaining reproductions rights from any third-party rights holders."
Alacrán,The Scorpion,Rene H. Arceo,https://nationalmuseumofmexicanart.org/img/9746fc71-8c00-49b6-a86c-dc4488f69b8b/2005.269.D_web.png,https://nationalmuseumofmexicanart.org/artworks/alacrán-from-the-la-loteria-a-childrens-game-portfolio,"Linocut, 21/30 -  linograbado, 21/30. 19 7/8"" x 12 7/8"" (paper size).",from the La Loteria - A Children's Game portfolio,de la carpeta La Loteria - Un juego de niños,Animal|loteria|Loteria|game|juego|tradition|Gráfica Galigo|Chicago|children|Chicago artist|ioninsect,1998,,,"NMMA Permanent Collection, 2005.269 D, Gift from the Carlos Cortéz Estate",,National Museum of Mexican Art (NMMA),,"NMMA is committed to protecting the intellectual property rights of visual and performing artists and others who hold copyright. With the exception of fair use as defined by US copyright law, NMMA expressly prohibits the reproduction, distribution, downloading, transmission, sale, transfer, creation of derivative works, modification, public display, public performance, or publication of any materials on this website. Commercial use of any materials on the NMMA website is expressly forbidden.

Images, text, software, documentation, electronic text and image files, audio and video clips, and other materials (the “Contents”) on this site are either © National Museum of Mexican Art or used with permission by NMMA; and are protected by under United States and international copyright laws.

Please note that the NMMA does not hold the copyright to any works in its collection or on exhibition. Therefore, you are responsible for obtaining reproductions rights from any third-party rights holders."
Death,La Muerte,Jeff Abbey Maldonado,https://nationalmuseumofmexicanart.org/img/ff1ecf28-7d29-4b36-a290-7d27af75d1fb/2005.269F_web.png,https://nationalmuseumofmexicanart.org/artworks/death-from-the-la-loteria-a-childrens-game-portfolio,"Linocut, 21/30 -  linograbado, 21/30. 20"" x 13"" (paper size).",from the La Loteria - A Children's Game portfolio,de la carpeta La Loteria - Un juego de niños,dead|muertos|loteria|Loteria|game|juego|tradition|Gráfica Galigo|Chicago|children|Death|Pilsen artist,1998,,,"NMMA Permanent Collection, 2005.269 F, Gift from the Carlos Cortéz Estate",,National Museum of Mexican Art (NMMA),,"NMMA is committed to protecting the intellectual property rights of visual and performing artists and others who hold copyright. With the exception of fair use as defined by US copyright law, NMMA expressly prohibits the reproduction, distribution, downloading, transmission, sale, transfer, creation of derivative works, modification, public display, public performance, or publication of any materials on this website. Commercial use of any materials on the NMMA website is expressly forbidden.

Images, text, software, documentation, electronic text and image files, audio and video clips, and other materials (the “Contents”) on this site are either © National Museum of Mexican Art or used with permission by NMMA; and are protected by under United States and international copyright laws.

Please note that the NMMA does not hold the copyright to any works in its collection or on exhibition. Therefore, you are responsible for obtaining reproductions rights from any third-party rights holders."
Luna,Moon,José Guerrero,https://nationalmuseumofmexicanart.org/img/2df92418-f385-4104-a875-4195a6b9f6d0/2005.269G_web.png,https://nationalmuseumofmexicanart.org/artworks/luna-from-the-la-loteria-a-childrens-game-portfolio,"Linocut, 21/30 -  linograbado, 21/30. 19 7/8"" x 13"" (paper size).",from the La Loteria - A Children's Game portfolio,de la carpeta La Loteria - Un juego de niños,Mao|moon|cosmic|communism|China|Loteria|game|juego|tradition|Gráfica Galigo|Chicago|children|,1998,,,"NMMA Permanent Collection, 2005.269 G, Gift from the Carlos Cortéz Estate",,National Museum of Mexican Art (NMMA),,"NMMA is committed to protecting the intellectual property rights of visual and performing artists and others who hold copyright. With the exception of fair use as defined by US copyright law, NMMA expressly prohibits the reproduction, distribution, downloading, transmission, sale, transfer, creation of derivative works, modification, public display, public performance, or publication of any materials on this website. Commercial use of any materials on the NMMA website is expressly forbidden.

Images, text, software, documentation, electronic text and image files, audio and video clips, and other materials (the “Contents”) on this site are either © National Museum of Mexican Art or used with permission by NMMA; and are protected by under United States and international copyright laws.

Please note that the NMMA does not hold the copyright to any works in its collection or on exhibition. Therefore, you are responsible for obtaining reproductions rights from any third-party rights holders."
The Smoker,El fumador,Joel Rendón,https://nationalmuseumofmexicanart.org/img/7606859c-b5b3-4e04-b763-73dc4c629f95/2005.269H_web.png,https://nationalmuseumofmexicanart.org/artworks/from-the-la-loteria-a-childrens-game-portfolio,"Linocut, 21/30 -  linograbado, 21/30. 19 7/8"" x 13 1/16"" (paper size).",from the La Loteria - A Children's Game portfolio,de la carpeta La Loteria - Un juego de niños,mask|máscara|Loteria|game|juego|tradition|Gráfica Galigo|Chicago|smoke|smoker|spirit|spiritual|,1997,,,"NMMA Permanent Collection, 2005.269 H, Gift from the Carlos Cortéz Estate",,National Museum of Mexican Art (NMMA),,"NMMA is committed to protecting the intellectual property rights of visual and performing artists and others who hold copyright. With the exception of fair use as defined by US copyright law, NMMA expressly prohibits the reproduction, distribution, downloading, transmission, sale, transfer, creation of derivative works, modification, public display, public performance, or publication of any materials on this website. Commercial use of any materials on the NMMA website is expressly forbidden.

Images, text, software, documentation, electronic text and image files, audio and video clips, and other materials (the “Contents”) on this site are either © National Museum of Mexican Art or used with permission by NMMA; and are protected by under United States and international copyright laws.

Please note that the NMMA does not hold the copyright to any works in its collection or on exhibition. Therefore, you are responsible for obtaining reproductions rights from any third-party rights holders."
Untitled,Sin título,Michael Hernández de Luna,https://nationalmuseumofmexicanart.org/img/2a9661b3-f31d-465d-9a74-cde7e851796b/2010.65A-J_web.png,https://nationalmuseumofmexicanart.org/artworks/untitled-collage-of-14-fraudulent-mexican-stamps,"Generated laser prints / impresiones generadas por laser. 18 1/4"" x 13 1/4"" (framed).",collage of 14 fraudulent Mexican stamps,collage de 14 estampillas mexicanas falsas,fraudulent stamp|humor|Day of the Dead|Dia de los Muertos|skull|skeleton|clown|rooster|devil|diablo|Chicago|Jorge Negrete|gallo|Chiapas|Subcomandante Marcos|bufon|joker|EZLN|(ELZN?)|Ejercito Zapatista de Liberación Nacional|religious|mask|music|popular culture| irony,various dates / fechas diversas,,,"NMMA Permanent Collection, 2010.65 A-J, Gift from the John and Dorianne Venator Collection",,National Museum of Mexican Art (NMMA),,"NMMA is committed to protecting the intellectual property rights of visual and performing artists and others who hold copyright. With the exception of fair use as defined by US copyright law, NMMA expressly prohibits the reproduction, distribution, downloading, transmission, sale, transfer, creation of derivative works, modification, public display, public performance, or publication of any materials on this website. Commercial use of any materials on the NMMA website is expressly forbidden.

Images, text, software, documentation, electronic text and image files, audio and video clips, and other materials (the “Contents”) on this site are either © National Museum of Mexican Art or used with permission by NMMA; and are protected by under United States and international copyright laws.

Please note that the NMMA does not hold the copyright to any works in its collection or on exhibition. Therefore, you are responsible for obtaining reproductions rights from any third-party rights holders."
Alfonsina,,Esperanza Gama,https://nationalmuseumofmexicanart.org/img/8647c889-32b7-4977-a4a5-1559f2bf4e43/2011.40_web.png,https://nationalmuseumofmexicanart.org/artworks/alfonsina,"Acrylic on canvas / acrílico sobre lienzo. 60"" x 48"".",,,quinceañera|women|woman artist|cake|Chicana|Los Angeles-Chicago|cactus|youth|transition|change|nature|muralist|NMMA 25th Anniversary Donation|,ca. 1999,,,"NMMA Permanent Collection, 2011.40, Gift of C. Patricia Macías in memory of her mother",,National Museum of Mexican Art (NMMA),,"NMMA is committed to protecting the intellectual property rights of visual and performing artists and others who hold copyright. With the exception of fair use as defined by US copyright law, NMMA expressly prohibits the reproduction, distribution, downloading, transmission, sale, transfer, creation of derivative works, modification, public display, public performance, or publication of any materials on this website. Commercial use of any materials on the NMMA website is expressly forbidden.

Images, text, software, documentation, electronic text and image files, audio and video clips, and other materials (the “Contents”) on this site are either © National Museum of Mexican Art or used with permission by NMMA; and are protected by under United States and international copyright laws.

Please note that the NMMA does not hold the copyright to any works in its collection or on exhibition. Therefore, you are responsible for obtaining reproductions rights from any third-party rights holders."
Marranos,Pigs,Alfonso Piloto Nieves,https://nationalmuseumofmexicanart.org/img/72fb7413-2945-4423-95f5-8aaec1874e3b/2011.44_front_web.png,https://nationalmuseumofmexicanart.org/artworks/marranos,"Ceramic and mixed media / cerámica y técnica mixta. 35"" x 21"" x 16 1/2"".",,,capitalism|conspicuous consumption|game|pig|fauna|capitalist pig|bank|money|greed|balance|checkers|chess|building|architecture|halo|angel|pyramid|game|humor|mixed media,2010,,,"NMMA Permanent Collection, 2011.44, Gift of Marisol Mireles and Edward Mascorro",,National Museum of Mexican Art (NMMA),,"NMMA is committed to protecting the intellectual property rights of visual and performing artists and others who hold copyright. With the exception of fair use as defined by US copyright law, NMMA expressly prohibits the reproduction, distribution, downloading, transmission, sale, transfer, creation of derivative works, modification, public display, public performance, or publication of any materials on this website. Commercial use of any materials on the NMMA website is expressly forbidden.

Images, text, software, documentation, electronic text and image files, audio and video clips, and other materials (the “Contents”) on this site are either © National Museum of Mexican Art or used with permission by NMMA; and are protected by under United States and international copyright laws.

Please note that the NMMA does not hold the copyright to any works in its collection or on exhibition. Therefore, you are responsible for obtaining reproductions rights from any third-party rights holders."
Los angelitos,The Little Angels,José Esquivel,https://nationalmuseumofmexicanart.org/img/5ee162cf-504b-4905-a930-db47ed977441/2011.55_web.png,https://nationalmuseumofmexicanart.org/artworks/los-angelitos,"Acrylic on canvas / acrílico sobre lienzo. 20 3/4"" x 16 1/2"".",,,Day of the Dead|Dia de los Muertos|NMMA 25th Anniversary Donation|Chicano artist|soul|neighborhood|angels|religion|fauna|flora|architecture|home|house,2011,,,"NMMA Permanent Collection, 2011.55, Gift of the artist",,National Museum of Mexican Art (NMMA),,"NMMA is committed to protecting the intellectual property rights of visual and performing artists and others who hold copyright. With the exception of fair use as defined by US copyright law, NMMA expressly prohibits the reproduction, distribution, downloading, transmission, sale, transfer, creation of derivative works, modification, public display, public performance, or publication of any materials on this website. Commercial use of any materials on the NMMA website is expressly forbidden.

Images, text, software, documentation, electronic text and image files, audio and video clips, and other materials (the “Contents”) on this site are either © National Museum of Mexican Art or used with permission by NMMA; and are protected by under United States and international copyright laws.

Please note that the NMMA does not hold the copyright to any works in its collection or on exhibition. Therefore, you are responsible for obtaining reproductions rights from any third-party rights holders."
Rings of Life,Los círculos de la vida,Benito Huerta,https://nationalmuseumofmexicanart.org/img/6b0a46c6-7332-4a96-b90d-5d565d9f0fd2/2011.57_web.png,https://nationalmuseumofmexicanart.org/artworks/rings-of-life,"Oil on canvas / óleo sobre lienzo. 77"" x 49"".",,,life|infinity|union|circle|Western Art history|film and television|cartoon|animation|NMMA 25th Anniversary Donation| Pop Art|Conceptual Art|fauna|dominoes|game|unity|humor,1998,,,"NMMA Permanent Collection, 2011.57, Gift of the artist in memory of Luis Jiménez",,National Museum of Mexican Art (NMMA),,"NMMA is committed to protecting the intellectual property rights of visual and performing artists and others who hold copyright. With the exception of fair use as defined by US copyright law, NMMA expressly prohibits the reproduction, distribution, downloading, transmission, sale, transfer, creation of derivative works, modification, public display, public performance, or publication of any materials on this website. Commercial use of any materials on the NMMA website is expressly forbidden.

Images, text, software, documentation, electronic text and image files, audio and video clips, and other materials (the “Contents”) on this site are either © National Museum of Mexican Art or used with permission by NMMA; and are protected by under United States and international copyright laws.

Please note that the NMMA does not hold the copyright to any works in its collection or on exhibition. Therefore, you are responsible for obtaining reproductions rights from any third-party rights holders."
El Copycat,The copión,Leo Limón,https://nationalmuseumofmexicanart.org/img/3011f989-300c-429d-bcf8-bb4b63bae610/2011.151_web.png,https://nationalmuseumofmexicanart.org/artworks/el-copycat,"Acrylic on canvas / acrílico sobre lienzo. 47 7/8"" x 69 3/4"".",,,NMMA 25th Anniversary Donation|flora|fauna|heart|corazon|cactus|transportation|automobile|car|truck|cityscape|urbanization|urbanism|hot peppers|chile|liberty bell|arrow|symbolism|Virgimn of Guadalupe|religion|painter's pallette|angel|Pre-Cuauhtemoc|landscape,2001,,,"NMMA Permanent Collection, 2011.151, Gift of the Familia Limón",,National Museum of Mexican Art (NMMA),,"NMMA is committed to protecting the intellectual property rights of visual and performing artists and others who hold copyright. With the exception of fair use as defined by US copyright law, NMMA expressly prohibits the reproduction, distribution, downloading, transmission, sale, transfer, creation of derivative works, modification, public display, public performance, or publication of any materials on this website. Commercial use of any materials on the NMMA website is expressly forbidden.

Images, text, software, documentation, electronic text and image files, audio and video clips, and other materials (the “Contents”) on this site are either © National Museum of Mexican Art or used with permission by NMMA; and are protected by under United States and international copyright laws.

Please note that the NMMA does not hold the copyright to any works in its collection or on exhibition. Therefore, you are responsible for obtaining reproductions rights from any third-party rights holders."
Earache Treatment / Ventosa,Tratamiento para el dolor de oido / Vent,Carmen Lomas Garza,https://nationalmuseumofmexicanart.org/img/37f382e1-2a28-49ee-b2fc-db1d2fc3b5e1/2011.156_web.png,https://nationalmuseumofmexicanart.org/artworks/earache-treatment-ventosa,"Epson gicleé digital print, 12/180 -  impresión digital gicleé Epson, 12/180. 21"" x 18 1/8"" (paper size).",,,curandera|faith healer|alternative medicine|botanica|illness|sickness|traditional medicine| NMMA 25th Anniversary Donation|figure|Texas|ear|earache|ventosa|cucurucho|paper cone|woman artist|,2007,,,"NMMA Permanent Collection, 2011.156, Gift of the artist",,National Museum of Mexican Art (NMMA),,"NMMA is committed to protecting the intellectual property rights of visual and performing artists and others who hold copyright. With the exception of fair use as defined by US copyright law, NMMA expressly prohibits the reproduction, distribution, downloading, transmission, sale, transfer, creation of derivative works, modification, public display, public performance, or publication of any materials on this website. Commercial use of any materials on the NMMA website is expressly forbidden.

Images, text, software, documentation, electronic text and image files, audio and video clips, and other materials (the “Contents”) on this site are either © National Museum of Mexican Art or used with permission by NMMA; and are protected by under United States and international copyright laws.

Please note that the NMMA does not hold the copyright to any works in its collection or on exhibition. Therefore, you are responsible for obtaining reproductions rights from any third-party rights holders."
"Coronado Space Complex at New York, Mars","Complejo espacial Coronado en Nueva York, Marte",Ignacio Montano,https://nationalmuseumofmexicanart.org/img/bd3d4af1-605c-46a6-b1c4-8c11c90bd808/2012.11_web.png,https://nationalmuseumofmexicanart.org/artworks/coronado-space-complex-at-new-york-mars,"Oil on linen / óleo sobre lino. 42 1/4"" x 50"".",,,NMMA 25th Anniversary Donation|outer space|final frontier|Mars|celestial|cosmos|transportation|Chicago artist|universe,1990,,,"NMMA Permanent Collection, 2012.11, Gift of the Artist's Mother, Esperanza Amaya de Montano",,National Museum of Mexican Art (NMMA),,"NMMA is committed to protecting the intellectual property rights of visual and performing artists and others who hold copyright. With the exception of fair use as defined by US copyright law, NMMA expressly prohibits the reproduction, distribution, downloading, transmission, sale, transfer, creation of derivative works, modification, public display, public performance, or publication of any materials on this website. Commercial use of any materials on the NMMA website is expressly forbidden.

Images, text, software, documentation, electronic text and image files, audio and video clips, and other materials (the “Contents”) on this site are either © National Museum of Mexican Art or used with permission by NMMA; and are protected by under United States and international copyright laws.

Please note that the NMMA does not hold the copyright to any works in its collection or on exhibition. Therefore, you are responsible for obtaining reproductions rights from any third-party rights holders."
La Virgen y las carpas,The Virgin and the Tents,Marta Sánchez,https://nationalmuseumofmexicanart.org/img/89cfd1df-4d1a-465f-98fc-cd13dd411c16/2012.26_web.png,https://nationalmuseumofmexicanart.org/artworks/la-virgen-y-las-carpas-in-the-train-yard,"Oil and enamel on corrugated aluminum panel / óleo y esmalte sobre panel de aluminio corrugado. 48"" x 36"".",in the Train Yard,en la estación de traspatio,NMMA 25th Anniversary Donation|virgin|virgen|train|ferrocarril|locomotive|transportation|   labor|Chicana|circus|Pre-Cuauhtémoc|indigenous|man|woman|flowers|flora|woman artist|women artists,2004,,,"NMMA Permanent Collection, 2012.26, Gift of the artist in honor of her father José Mata Sánchez",,National Museum of Mexican Art (NMMA),,"NMMA is committed to protecting the intellectual property rights of visual and performing artists and others who hold copyright. With the exception of fair use as defined by US copyright law, NMMA expressly prohibits the reproduction, distribution, downloading, transmission, sale, transfer, creation of derivative works, modification, public display, public performance, or publication of any materials on this website. Commercial use of any materials on the NMMA website is expressly forbidden.

Images, text, software, documentation, electronic text and image files, audio and video clips, and other materials (the “Contents”) on this site are either © National Museum of Mexican Art or used with permission by NMMA; and are protected by under United States and international copyright laws.

Please note that the NMMA does not hold the copyright to any works in its collection or on exhibition. Therefore, you are responsible for obtaining reproductions rights from any third-party rights holders."
Carlos Cortéz,,Francisco G. Mendoza,,https://nationalmuseumofmexicanart.org/artworks/carlos-cortéz,"Linocut, N.N. -  linograbado, S.N. 18 5/8"" x 18"" (paper size).",,,NMMA 25th Anniversary Donation|portrait|Carlos Cortez|artist|printmaker|Mural|mosaic|Chicago|CPS|Pilsen|,likely carved in 2005 and printed in 2011 / probablemente tallada en 2005 e impresa en 2011,,,"NMMA Permanent Collection, 2012.54, Gift of Juanita O. Mendoza and James Larralde",,National Museum of Mexican Art (NMMA),,"NMMA is committed to protecting the intellectual property rights of visual and performing artists and others who hold copyright. With the exception of fair use as defined by US copyright law, NMMA expressly prohibits the reproduction, distribution, downloading, transmission, sale, transfer, creation of derivative works, modification, public display, public performance, or publication of any materials on this website. Commercial use of any materials on the NMMA website is expressly forbidden.

Images, text, software, documentation, electronic text and image files, audio and video clips, and other materials (the “Contents”) on this site are either © National Museum of Mexican Art or used with permission by NMMA; and are protected by under United States and international copyright laws.

Please note that the NMMA does not hold the copyright to any works in its collection or on exhibition. Therefore, you are responsible for obtaining reproductions rights from any third-party rights holders."
Boney Ridge,Boney Ridge,Linda Vallejo,https://nationalmuseumofmexicanart.org/img/63b13c89-eda8-4e78-89c2-ee769a3bb1c5/2012.117_web.png,https://nationalmuseumofmexicanart.org/artworks/boney-ridge-california-horizons-series,"Oil on canvas / óleo sobre lienzo. 72 1/4"" x 18"".",California Horizons Series,de la serie Horizontes de California,NMMA 25th Anniversary Donation| environment|landscape|rock|stone|elder|Native American|land|California Horizons|women artists|woman artist|spirituality|nature,2006,,,"NMMA Permanent Collection, 2012.117, Gift of the artist in honor of Adam and Helen Vallejo",,National Museum of Mexican Art (NMMA),,"NMMA is committed to protecting the intellectual property rights of visual and performing artists and others who hold copyright. With the exception of fair use as defined by US copyright law, NMMA expressly prohibits the reproduction, distribution, downloading, transmission, sale, transfer, creation of derivative works, modification, public display, public performance, or publication of any materials on this website. Commercial use of any materials on the NMMA website is expressly forbidden.

Images, text, software, documentation, electronic text and image files, audio and video clips, and other materials (the “Contents”) on this site are either © National Museum of Mexican Art or used with permission by NMMA; and are protected by under United States and international copyright laws.

Please note that the NMMA does not hold the copyright to any works in its collection or on exhibition. Therefore, you are responsible for obtaining reproductions rights from any third-party rights holders."
Little Champ,Pequeño campeón,Eva Soliz,https://nationalmuseumofmexicanart.org/img/a083ba54-7047-460c-b8a5-7f1eae343775/2012.168_web.png,https://nationalmuseumofmexicanart.org/artworks/little-champ-from-the-game-piece-portraits-series,"Oil on canvas / óleo sobre lienzo. 60"" x 36"".",from the Game Piece Portraits Series,de la serie Retratos de piezas de juego,NMMA 25th Anniversary Donation|game|child|portrait|baseball|Little League|chess|live|Texas,2011,,,"NMMA Permanent Collection, 2012.168, Gift of the artist",,National Museum of Mexican Art (NMMA),,"NMMA is committed to protecting the intellectual property rights of visual and performing artists and others who hold copyright. With the exception of fair use as defined by US copyright law, NMMA expressly prohibits the reproduction, distribution, downloading, transmission, sale, transfer, creation of derivative works, modification, public display, public performance, or publication of any materials on this website. Commercial use of any materials on the NMMA website is expressly forbidden.

Images, text, software, documentation, electronic text and image files, audio and video clips, and other materials (the “Contents”) on this site are either © National Museum of Mexican Art or used with permission by NMMA; and are protected by under United States and international copyright laws.

Please note that the NMMA does not hold the copyright to any works in its collection or on exhibition. Therefore, you are responsible for obtaining reproductions rights from any third-party rights holders."
