Title,Alternative Title,Creator,Image,Weblog,Description,Subject,Date,Type,Format,Source,Language,Contributor,Annotates,Access Rights
Mojada,,Franco Mondini-Ruiz,https://nationalmuseumofmexicanart.org/img/89845025-54f6-4f7b-9373-2c438f41332c/2012.343_front_web.png,https://nationalmuseumofmexicanart.org/artworks/mojada,Wetback,,2002,"commercially manufactured glazed ceramic, glass and resin / cerámica vidriada y vidrio de fabricación comercial y resina",,,,National Museum of Mexican Art (NMMA),,"Image is displayed for education and personal research only. For individual rights information about an item, please check the “Description” field, or follow the link to the digital object on the content provider’s website for more information. Reuse of copyright-protected images requires signed permission from the copyright holder. If you are the copyright holder of this item and its use online constitutes an infringement of your copyright, please contact us by email at rhizomes@umn.edu to discuss its removal from the portal."
Tool Boy Flying at Nite (sic),,Cruz Ortiz,https://nationalmuseumofmexicanart.org/img/99ce2c14-bcf3-4927-8b59-111b20fb25e0/2013.95_web.png,https://nationalmuseumofmexicanart.org/artworks/tool-boy-flying-at-nite-sic,Niño herramienta volando de noche,,2001,acrylic on canvas / acrílico sobre lienzo,,,,National Museum of Mexican Art (NMMA),,"Image is displayed for education and personal research only. For individual rights information about an item, please check the “Description” field, or follow the link to the digital object on the content provider’s website for more information. Reuse of copyright-protected images requires signed permission from the copyright holder. If you are the copyright holder of this item and its use online constitutes an infringement of your copyright, please contact us by email at rhizomes@umn.edu to discuss its removal from the portal."
Primo - Francisco G. Mendoza,,José Agustín Andreu,https://nationalmuseumofmexicanart.org/img/6e812f07-2b99-4a4f-b5e1-27c6a4a00570/2013.235_web.png,https://nationalmuseumofmexicanart.org/artworks/primo-francisco-g-mendoza,Cousin- Francisco G. Mendoza,,2012,oil on linen / óleo sobre lino,,,,National Museum of Mexican Art (NMMA),,"Image is displayed for education and personal research only. For individual rights information about an item, please check the “Description” field, or follow the link to the digital object on the content provider’s website for more information. Reuse of copyright-protected images requires signed permission from the copyright holder. If you are the copyright holder of this item and its use online constitutes an infringement of your copyright, please contact us by email at rhizomes@umn.edu to discuss its removal from the portal."
"Cast Zambuigus: de gachupin e india, criado por Tio Sam",,Eric J. García,https://nationalmuseumofmexicanart.org/img/75d977a3-10a2-40a3-9add-552768703f2b/2014.1_front_web.png,https://nationalmuseumofmexicanart.org/artworks/cast-zambuigus-de-gachupin-e-india-criado-por-tio-sam,"Cast Zambuigus: de gachupin e india, criado por Tio Sam / Of Gachupin and India, Raised by Uncle Sam",,2013,"slipcast porcelain with airbrushed glaze, ed. 13  / porcelana colada con esmalte aerografiad, ed. 13",,,,National Museum of Mexican Art (NMMA),,"Image is displayed for education and personal research only. For individual rights information about an item, please check the “Description” field, or follow the link to the digital object on the content provider’s website for more information. Reuse of copyright-protected images requires signed permission from the copyright holder. If you are the copyright holder of this item and its use online constitutes an infringement of your copyright, please contact us by email at rhizomes@umn.edu to discuss its removal from the portal."
Baby Taco,,Franco Mondini-Ruiz,https://nationalmuseumofmexicanart.org/img/864e437b-a74b-40bf-b7c1-ed444874dec8/2014.81_front_web.png,https://nationalmuseumofmexicanart.org/artworks/baby-taco,Taco bebe,,1990,assembled found objects / objetos encontrados ensamblados,,,,National Museum of Mexican Art (NMMA),,"Image is displayed for education and personal research only. For individual rights information about an item, please check the “Description” field, or follow the link to the digital object on the content provider’s website for more information. Reuse of copyright-protected images requires signed permission from the copyright holder. If you are the copyright holder of this item and its use online constitutes an infringement of your copyright, please contact us by email at rhizomes@umn.edu to discuss its removal from the portal."
Bald Border Brown (from the Posada Presente portfolio),,Salvador Andrade,https://nationalmuseumofmexicanart.org/img/53b55fe6-f123-401c-9f9e-561334c292fd/2014.128.5_web.png,https://nationalmuseumofmexicanart.org/artworks/bald-border-brown-from-the-posada-presente-portfolio,"Calva, frontera, cafe (de la carpeta Posada Presente)",,2013,"linocut, 21/35 / grabado en linóleo, 21/35",,,,National Museum of Mexican Art (NMMA),,"Image is displayed for education and personal research only. For individual rights information about an item, please check the “Description” field, or follow the link to the digital object on the content provider’s website for more information. Reuse of copyright-protected images requires signed permission from the copyright holder. If you are the copyright holder of this item and its use online constitutes an infringement of your copyright, please contact us by email at rhizomes@umn.edu to discuss its removal from the portal."
Make Tacos Not War,,Alejandro Díaz,https://nationalmuseumofmexicanart.org/img/5c66a744-15d7-4485-9b99-a944d32f0222/2014.190_web.png,https://nationalmuseumofmexicanart.org/artworks/make-tacos-not-war,Has tacos y no la guerra,,,pink neon on clear plexiglass / neón rosa sobre plexiglás transparente,,,,National Museum of Mexican Art (NMMA),,"Image is displayed for education and personal research only. For individual rights information about an item, please check the “Description” field, or follow the link to the digital object on the content provider’s website for more information. Reuse of copyright-protected images requires signed permission from the copyright holder. If you are the copyright holder of this item and its use online constitutes an infringement of your copyright, please contact us by email at rhizomes@umn.edu to discuss its removal from the portal."
Gallery Without Borders Sign,,Evan Voyles *,https://nationalmuseumofmexicanart.org/img/71521448-9324-4212-940a-1674454d3719/2014.193_web.png,https://nationalmuseumofmexicanart.org/artworks/gallery-without-borders-sign,Anuncio de Gallery Without Borders,,2011,"neon, glass and metal sign / anuncio en neón, vidrio y metal",,,,National Museum of Mexican Art (NMMA),,"Image is displayed for education and personal research only. For individual rights information about an item, please check the “Description” field, or follow the link to the digital object on the content provider’s website for more information. Reuse of copyright-protected images requires signed permission from the copyright holder. If you are the copyright holder of this item and its use online constitutes an infringement of your copyright, please contact us by email at rhizomes@umn.edu to discuss its removal from the portal."
The Encounter,,Alejandro Romero,https://nationalmuseumofmexicanart.org/img/3a734503-0fb9-4a64-a606-9e4929493ece/2015.1_web.png,https://nationalmuseumofmexicanart.org/artworks/the-encounter,El encuentro,,1998,acrylic on canvas / acrílico sobre lienzo,,,,National Museum of Mexican Art (NMMA),,"Image is displayed for education and personal research only. For individual rights information about an item, please check the “Description” field, or follow the link to the digital object on the content provider’s website for more information. Reuse of copyright-protected images requires signed permission from the copyright holder. If you are the copyright holder of this item and its use online constitutes an infringement of your copyright, please contact us by email at rhizomes@umn.edu to discuss its removal from the portal."
Represent ¡Presente!,,Nicole Marroquin,https://nationalmuseumofmexicanart.org/img/ab2b7820-548e-4eea-aac8-5d18415b0e4f/2015.70A-B_frontblue_web.png,https://nationalmuseumofmexicanart.org/artworks/represent-presente,Representar / Present!,,2010,polychrome ceramic / cerámica policromada,,,,National Museum of Mexican Art (NMMA),,"Image is displayed for education and personal research only. For individual rights information about an item, please check the “Description” field, or follow the link to the digital object on the content provider’s website for more information. Reuse of copyright-protected images requires signed permission from the copyright holder. If you are the copyright holder of this item and its use online constitutes an infringement of your copyright, please contact us by email at rhizomes@umn.edu to discuss its removal from the portal."
Layers of the Subconscious,,Mario E. Castillo,https://nationalmuseumofmexicanart.org/img/17f6006f-6cb4-4ca5-8da6-fc8c3c47fee6/2015.192_web.png,https://nationalmuseumofmexicanart.org/artworks/layers-of-the-subconscious,Capas del subconsciente,,1991,acrylic and mixed media on canvas mounted on wood with wood appliqués / acrílico y técnica mixta sobre lienzo montada en madera con aplicaciones de madera,,,,National Museum of Mexican Art (NMMA),,"Image is displayed for education and personal research only. For individual rights information about an item, please check the “Description” field, or follow the link to the digital object on the content provider’s website for more information. Reuse of copyright-protected images requires signed permission from the copyright holder. If you are the copyright holder of this item and its use online constitutes an infringement of your copyright, please contact us by email at rhizomes@umn.edu to discuss its removal from the portal."
Damn I Forgot to Block,,Errol Ortiz,https://nationalmuseumofmexicanart.org/img/1409604d-897e-4d02-a62e-b643e17ef230/2015.236_web.png,https://nationalmuseumofmexicanart.org/artworks/damn-i-forgot-to-block,"Maldita sea, olvidé bloquear (Chin, olvidé bloquear)",,2011,acrylic on linen / acrílico sobre lino,,,,National Museum of Mexican Art (NMMA),,"Image is displayed for education and personal research only. For individual rights information about an item, please check the “Description” field, or follow the link to the digital object on the content provider’s website for more information. Reuse of copyright-protected images requires signed permission from the copyright holder. If you are the copyright holder of this item and its use online constitutes an infringement of your copyright, please contact us by email at rhizomes@umn.edu to discuss its removal from the portal."
Reaper,,George Rodríguez,https://nationalmuseumofmexicanart.org/img/82edbcb7-ab3a-435e-ba40-86cdcd694b96/2016.8_front_web.png,https://nationalmuseumofmexicanart.org/artworks/reaper,Parca,,2014,ceramic with glaze / cerámica con esmalte,,,,National Museum of Mexican Art (NMMA),,"Image is displayed for education and personal research only. For individual rights information about an item, please check the “Description” field, or follow the link to the digital object on the content provider’s website for more information. Reuse of copyright-protected images requires signed permission from the copyright holder. If you are the copyright holder of this item and its use online constitutes an infringement of your copyright, please contact us by email at rhizomes@umn.edu to discuss its removal from the portal."
Botecito soñando árbol (from the Bestiarios y Nahuales I portfolio),,José Agustín Andréu,https://nationalmuseumofmexicanart.org/img/72d459f7-3004-4271-8331-cbdef206ed20/2016.55A_web.png,https://nationalmuseumofmexicanart.org/artworks/botecito-soñando-árbol-from-the-bestiarios-y-nahuales-i-portfolio,Little Boat Dreaming Tree (de la carpeta Bestiary and Nahuales I),,2007,"linocut, 50/50 / grabado en linóleo, 50/50",,,,National Museum of Mexican Art (NMMA),,"Image is displayed for education and personal research only. For individual rights information about an item, please check the “Description” field, or follow the link to the digital object on the content provider’s website for more information. Reuse of copyright-protected images requires signed permission from the copyright holder. If you are the copyright holder of this item and its use online constitutes an infringement of your copyright, please contact us by email at rhizomes@umn.edu to discuss its removal from the portal."
Homage to the Street,,Marcos Raya,https://nationalmuseumofmexicanart.org/img/7b7dfe2f-cd47-44a9-9f3e-44f0827232f3/2016.247_1_web.png,https://nationalmuseumofmexicanart.org/artworks/homage-to-the-street,Homenaje a la calle,,1997,mixed media door / técnica mixta sobre puerta,,,,National Museum of Mexican Art (NMMA),,"Image is displayed for education and personal research only. For individual rights information about an item, please check the “Description” field, or follow the link to the digital object on the content provider’s website for more information. Reuse of copyright-protected images requires signed permission from the copyright holder. If you are the copyright holder of this item and its use online constitutes an infringement of your copyright, please contact us by email at rhizomes@umn.edu to discuss its removal from the portal."
"No Coconuts, 1973",,Nicole Marroquin,https://nationalmuseumofmexicanart.org,https://nationalmuseumofmexicanart.org/artworks/no-coconuts-,"No a los cocos, 1973",,1973,"serigraph, 6/27 / serigrafía, 6/27",,,,National Museum of Mexican Art (NMMA),,"Image is displayed for education and personal research only. For individual rights information about an item, please check the “Description” field, or follow the link to the digital object on the content provider’s website for more information. Reuse of copyright-protected images requires signed permission from the copyright holder. If you are the copyright holder of this item and its use online constitutes an infringement of your copyright, please contact us by email at rhizomes@umn.edu to discuss its removal from the portal."
Trans-ition,,Sam Kirk,https://nationalmuseumofmexicanart.org,https://nationalmuseumofmexicanart.org/artworks/transition,Trans-ición,,2017,mixed media on paper and layered glass /  técnica mixta sobre papel y capas de vidrio,,,,National Museum of Mexican Art (NMMA),,"Image is displayed for education and personal research only. For individual rights information about an item, please check the “Description” field, or follow the link to the digital object on the content provider’s website for more information. Reuse of copyright-protected images requires signed permission from the copyright holder. If you are the copyright holder of this item and its use online constitutes an infringement of your copyright, please contact us by email at rhizomes@umn.edu to discuss its removal from the portal."
Sombras,,Luis Mendoza Ortiz,https://nationalmuseumofmexicanart.org/img/47ae6e3d-f98f-48d7-91a0-3c36a0da417d/2018.290_web.png,https://nationalmuseumofmexicanart.org/artworks/sombras,Shadows (yellow half moon),,1963,oil on canvas / óleo sobre lienzo,,,,National Museum of Mexican Art (NMMA),,"Image is displayed for education and personal research only. For individual rights information about an item, please check the “Description” field, or follow the link to the digital object on the content provider’s website for more information. Reuse of copyright-protected images requires signed permission from the copyright holder. If you are the copyright holder of this item and its use online constitutes an infringement of your copyright, please contact us by email at rhizomes@umn.edu to discuss its removal from the portal."
La Llorona vs. La Migra,,Pamela Enriquez-Courts,https://nationalmuseumofmexicanart.org/img/703ea679-f070-45ed-b45d-c0a5e711be5f/2020.202_1_web.png,https://nationalmuseumofmexicanart.org/artworks/la-llorona-vs-la-migra,The Weeping Woman vs. La Migra,,2019,acrylic on canvas / acrílico sobre lienzo,,,,National Museum of Mexican Art (NMMA),,"Image is displayed for education and personal research only. For individual rights information about an item, please check the “Description” field, or follow the link to the digital object on the content provider’s website for more information. Reuse of copyright-protected images requires signed permission from the copyright holder. If you are the copyright holder of this item and its use online constitutes an infringement of your copyright, please contact us by email at rhizomes@umn.edu to discuss its removal from the portal."
Appearance,,Diana Solís,https://nationalmuseumofmexicanart.org/img/255fa723-7554-4d6c-a847-0b658bcf1e71/2022.203_web.png,https://nationalmuseumofmexicanart.org/artworks/appearance,Apariencia,,1996,gelatin silver print / impresión de gelatina a la plata,,,,National Museum of Mexican Art (NMMA),,"Image is displayed for education and personal research only. For individual rights information about an item, please check the “Description” field, or follow the link to the digital object on the content provider’s website for more information. Reuse of copyright-protected images requires signed permission from the copyright holder. If you are the copyright holder of this item and its use online constitutes an infringement of your copyright, please contact us by email at rhizomes@umn.edu to discuss its removal from the portal."
PIHCO: Pilsen Housing Cooperative,,Unknown,https://nationalmuseumofmexicanart.org/img/5d0da854-6ea3-48e5-a316-ec8fa124ba0c/2023.54_web.png,https://nationalmuseumofmexicanart.org/artworks/pihco-pilsen-housing-cooperative,PIHCO: Cooperativa de Viviendas de Pilsen,,2022,"split fountain serigraph, N.N. / serigrafía degradada, S.N.",,,,National Museum of Mexican Art (NMMA),,"Image is displayed for education and personal research only. For individual rights information about an item, please check the “Description” field, or follow the link to the digital object on the content provider’s website for more information. Reuse of copyright-protected images requires signed permission from the copyright holder. If you are the copyright holder of this item and its use online constitutes an infringement of your copyright, please contact us by email at rhizomes@umn.edu to discuss its removal from the portal."

